p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran" ?resultsDir "./arizona_rram_1t1r.raw") 130n) (-real)
628.0,544.7E3
629.0,544.7E3
630.0,544.7E3
631.0,544.7E3
632.0,544.7E3
633.0,544.7E3
634.0,544.7E3
635.0,544.7E3
636.0,544.7E3
637.0,544.7E3
638.0,544.7E3
639.0,544.7E3
640.0,544.7E3
641.0,544.7E3
642.0,544.7E3
643.0,544.7E3
644.0,544.7E3
645.0,544.7E3
646.0,544.7E3
647.0,544.7E3
648.0,544.7E3
649.0,544.7E3
650.0,544.7E3
651.0,544.7E3
652.0,544.7E3
653.0,544.7E3
654.0,544.7E3
655.0,544.7E3
656.0,544.7E3
657.0,544.7E3
658.0,544.7E3
659.0,544.7E3
660.0,544.7E3
661.0,544.7E3
662.0,544.7E3
663.0,544.7E3
664.0,544.7E3
665.0,544.7E3
666.0,544.7E3
667.0,544.7E3
668.0,544.7E3
669.0,544.7E3
670.0,544.7E3
671.0,544.7E3
672.0,544.7E3
673.0,544.7E3
674.0,544.7E3
675.0,544.7E3
676.0,544.7E3
677.0,544.7E3
678.0,544.7E3
679.0,544.7E3
680.0,544.7E3
681.0,544.7E3
682.0,544.7E3
683.0,544.7E3
684.0,544.7E3
685.0,544.7E3
686.0,544.7E3
687.0,544.7E3
688.0,544.7E3
689.0,544.7E3
690.0,544.7E3
691.0,544.7E3
692.0,544.7E3
693.0,544.7E3
694.0,544.7E3
695.0,544.7E3
696.0,544.7E3
697.0,544.7E3
698.0,544.7E3
699.0,544.7E3
700.0,544.7E3
701.0,544.7E3
702.0,544.7E3
703.0,544.7E3
704.0,544.7E3
705.0,544.7E3
706.0,544.7E3
707.0,544.7E3
708.0,544.7E3
709.0,544.7E3
710.0,544.7E3
711.0,544.7E3
712.0,544.7E3
713.0,544.7E3
714.0,544.7E3
715.0,544.7E3
716.0,544.7E3
717.0,544.7E3
718.0,544.7E3
719.0,544.7E3
720.0,544.7E3
721.0,544.7E3
722.0,544.7E3
723.0,544.7E3
724.0,544.7E3
725.0,544.7E3
726.0,544.7E3
727.0,544.7E3
728.0,544.7E3
729.0,544.7E3
730.0,544.7E3
731.0,544.7E3
732.0,544.7E3
733.0,544.7E3
734.0,544.7E3
735.0,544.7E3
736.0,544.7E3
737.0,544.7E3
738.0,544.7E3
739.0,544.7E3
740.0,544.7E3
741.0,544.7E3
742.0,544.7E3
743.0,544.7E3
744.0,544.7E3
745.0,544.7E3
746.0,544.7E3
747.0,544.7E3
748.0,544.7E3
749.0,544.7E3
750.0,544.7E3
751.0,544.7E3
752.0,544.7E3
753.0,544.7E3
754.0,544.7E3
755.0,544.7E3
756.0,544.7E3
