p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
557.0,1.609E6
558.0,1.609E6
559.0,1.610E6
560.0,1.610E6
561.0,1.610E6
562.0,1.610E6
563.0,1.610E6
564.0,1.610E6
565.0,1.611E6
566.0,1.611E6
567.0,1.611E6
568.0,1.611E6
569.0,1.611E6
570.0,1.611E6
571.0,1.612E6
572.0,1.612E6
573.0,1.612E6
574.0,1.612E6
575.0,1.612E6
576.0,1.612E6
577.0,1.612E6
578.0,1.613E6
579.0,1.613E6
580.0,1.613E6
581.0,1.613E6
582.0,1.613E6
583.0,1.613E6
584.0,1.613E6
585.0,1.614E6
586.0,1.614E6
587.0,1.614E6
588.0,1.614E6
589.0,1.614E6
590.0,1.614E6
591.0,1.614E6
592.0,1.614E6
593.0,1.614E6
594.0,1.615E6
595.0,1.615E6
596.0,1.615E6
597.0,1.615E6
598.0,1.615E6
599.0,1.615E6
600.0,1.615E6
601.0,1.615E6
602.0,1.615E6
603.0,1.615E6
604.0,1.615E6
605.0,1.616E6
606.0,1.616E6
607.0,1.616E6
608.0,1.616E6
609.0,1.616E6
610.0,1.616E6
611.0,1.616E6
612.0,1.616E6
613.0,1.616E6
614.0,1.616E6
615.0,1.616E6
616.0,1.616E6
617.0,1.617E6
618.0,1.617E6
619.0,1.617E6
620.0,1.617E6
621.0,1.617E6
622.0,1.617E6
623.0,1.617E6
624.0,1.617E6
625.0,1.617E6
626.0,1.617E6
627.0,1.617E6
628.0,1.617E6
629.0,1.617E6
630.0,1.617E6
631.0,1.617E6
632.0,1.617E6
633.0,1.618E6
634.0,1.618E6
635.0,1.618E6
636.0,1.618E6
637.0,1.618E6
638.0,1.618E6
639.0,1.618E6
640.0,1.618E6
641.0,1.618E6
642.0,1.618E6
643.0,1.618E6
644.0,1.618E6
645.0,1.618E6
646.0,1.618E6
647.0,1.618E6
648.0,1.618E6
649.0,1.618E6
650.0,1.618E6
651.0,1.618E6
652.0,1.618E6
653.0,1.618E6
654.0,1.618E6
655.0,1.619E6
656.0,1.619E6
657.0,1.619E6
658.0,1.619E6
659.0,1.619E6
660.0,1.619E6
661.0,1.619E6
662.0,1.619E6
663.0,1.619E6
664.0,1.619E6
665.0,1.619E6
666.0,1.619E6
667.0,1.619E6
668.0,1.619E6
669.0,1.619E6
670.0,1.619E6
671.0,1.619E6
672.0,1.619E6
673.0,1.619E6
674.0,1.619E6
675.0,1.619E6
676.0,1.619E6
677.0,1.619E6
678.0,1.619E6
679.0,1.619E6
680.0,1.619E6
681.0,1.619E6
682.0,1.619E6
683.0,1.619E6
684.0,1.619E6
685.0,1.619E6
686.0,1.619E6
687.0,1.619E6
688.0,1.620E6
689.0,1.620E6
690.0,1.620E6
691.0,1.620E6
692.0,1.620E6
693.0,1.620E6
694.0,1.620E6
695.0,1.620E6
696.0,1.620E6
697.0,1.620E6
698.0,1.620E6
699.0,1.620E6
700.0,1.620E6
701.0,1.620E6
702.0,1.620E6
703.0,1.620E6
704.0,1.620E6
705.0,1.620E6
706.0,1.620E6
707.0,1.620E6
708.0,1.620E6
709.0,1.620E6
710.0,1.620E6
711.0,1.620E6
712.0,1.620E6
713.0,1.620E6
714.0,1.620E6
715.0,1.620E6
716.0,1.620E6
717.0,1.620E6
718.0,1.620E6
719.0,1.620E6
720.0,1.620E6
721.0,1.620E6
722.0,1.620E6
723.0,1.620E6
724.0,1.620E6
725.0,1.620E6
726.0,1.620E6
727.0,1.620E6
728.0,1.620E6
729.0,1.620E6
730.0,1.620E6
731.0,1.620E6
732.0,1.620E6
733.0,1.620E6
734.0,1.620E6
735.0,1.620E6
736.0,1.620E6
737.0,1.620E6
738.0,1.620E6
739.0,1.620E6
740.0,1.620E6
741.0,1.620E6
742.0,1.620E6
743.0,1.620E6
744.0,1.620E6
745.0,1.620E6
746.0,1.620E6
747.0,1.620E6
748.0,1.620E6
749.0,1.620E6
750.0,1.620E6
751.0,1.620E6
752.0,1.620E6
753.0,1.620E6
754.0,1.620E6
755.0,1.620E6
756.0,1.621E6
757.0,1.621E6
758.0,1.621E6
759.0,1.621E6
760.0,1.621E6
761.0,1.621E6
762.0,1.621E6
763.0,1.621E6
764.0,1.621E6
765.0,1.621E6
766.0,1.621E6
767.0,1.621E6
768.0,1.621E6
769.0,1.621E6
770.0,1.621E6
771.0,1.621E6
