p_level ,"value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)","value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)"
855,2331000,2331000
856,2332000,2332000
857,2332000,2332000
858,2332000,2332000
859,2332000,2332000
860,2332000,2332000
861,2332000,2332000
862,2332000,2332000
863,2332000,2332000
864,2332000,2332000
865,2332000,2332000
866,2332000,2332000
867,2332000,2332000
868,2332000,2332000
869,2332000,2332000
870,2332000,2332000
871,2332000,2332000
872,2332000,2332000
873,2332000,2332000
874,2332000,2332000
875,2332000,2332000
876,2332000,2332000
877,2332000,2332000
878,2332000,2332000
879,2332000,2332000
880,2332000,2332000
881,2332000,2332000
882,2332000,2332000
883,2332000,2332000
884,2332000,2332000
885,2332000,2332000
886,2332000,2332000
887,2332000,2332000
888,2332000,2332000
889,2332000,2332000
890,2332000,2332000
891,2332000,2332000
892,2332000,2332000
893,2332000,2332000
894,2332000,2332000
895,2332000,2332000
896,2332000,2332000
897,2332000,2332000
898,2332000,2332000
899,2332000,2332000
900,2332000,2332000
901,2332000,2332000
902,2332000,2332000
903,2332000,2332000
904,2332000,2332000
905,2332000,2332000
906,2332000,2332000
907,2332000,2332000
908,2332000,2332000
909,2332000,2332000
910,2332000,2332000
911,2332000,2332000
912,2332000,2332000
913,2332000,2332000
914,2332000,2332000
915,2332000,2332000
916,2332000,2332000
917,2332000,2332000
918,2332000,2332000
919,2332000,2332000
920,2332000,2332000
921,2332000,2332000
922,2332000,2332000
923,2332000,2332000
924,2332000,2332000
925,2332000,2332000
926,2332000,2332000
927,2332000,2332000
928,2332000,2332000
929,2332000,2332000
930,2332000,2332000
931,2332000,2332000
932,2332000,2332000
933,2332000,2332000
934,2332000,2332000
935,2332000,2332000
936,2332000,2332000
937,2332000,2332000
938,2332000,2332000
939,2332000,2332000
940,2332000,2332000
941,2332000,2332000
942,2332000,2332000
943,2332000,2332000
944,2332000,2332000
945,2332000,2332000
946,2332000,2332000
947,2332000,2332000
948,2332000,2332000
949,2332000,2332000
950,2332000,2332000
951,2332000,2332000
952,2332000,2332000
953,2332000,2332000
954,2332000,2332000
955,2332000,2332000
956,2332000,2332000
957,2332000,2332000
958,2332000,2332000
959,2332000,2332000
960,2332000,2332000
961,2332000,2332000
962,2332000,2332000
963,2332000,2332000
964,2332000,2332000
965,2332000,2332000
966,2332000,2332000
967,2332000,2332000
968,2332000,2332000
969,2332000,2332000
970,2332000,2332000
971,2332000,2332000
972,2332000,2332000
973,2332000,2332000
974,2332000,2332000
975,2332000,2332000
976,2332000,2332000
977,2332000,2332000
978,2332000,2332000
979,2332000,2332000
980,2332000,2332000
981,2332000,2332000
982,2332000,2332000
983,2332000,2332000
984,2332000,2332000
985,2332000,2332000
986,2332000,2332000
987,2332000,2332000
988,2332000,2332000
989,2332000,2332000
990,2332000,2332000
991,2332000,2332000
992,2332000,2332000
993,2332000,2332000
994,2332000,2332000
995,2332000,2332000
996,2332000,2332000
997,2332000,2332000
998,2332000,2332000
999,2332000,2332000
1000,2332000,2332000
1001,2332000,2332000
1002,2332000,2332000
1003,2332000,2332000
1004,2332000,2332000
1005,2332000,2332000
1006,2332000,2332000
1007,2332000,2332000
1008,2332000,2332000
1009,2332000,2332000
1010,2332000,2332000
1011,2332000,2332000
1012,2332000,2332000
1013,2332000,2332000
1014,2332000,2332000
1015,2332000,2332000
1016,2332000,2332000
1017,2332000,2332000
1018,2332000,2332000
1019,2332000,2332000
1020,2332000,2332000
1021,2332000,2332000
1022,2332000,2332000
1023,2332000,2332000
