p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
786.0,783.5E3
787.0,783.5E3
788.0,783.5E3
789.0,783.5E3
790.0,783.5E3
791.0,783.5E3
792.0,783.5E3
793.0,783.5E3
794.0,783.5E3
795.0,783.5E3
796.0,783.5E3
797.0,783.5E3
798.0,783.5E3
799.0,783.5E3
800.0,783.5E3
801.0,783.5E3
802.0,783.5E3
803.0,783.5E3
804.0,783.5E3
805.0,783.5E3
806.0,783.5E3
807.0,783.5E3
808.0,783.5E3
809.0,783.5E3
810.0,783.5E3
811.0,783.5E3
812.0,783.5E3
813.0,783.5E3
814.0,783.5E3
815.0,783.5E3
816.0,783.5E3
817.0,783.5E3
818.0,783.5E3
819.0,783.5E3
820.0,783.5E3
821.0,783.5E3
822.0,783.5E3
823.0,783.5E3
824.0,783.5E3
825.0,783.5E3
826.0,783.5E3
827.0,783.5E3
828.0,783.5E3
829.0,783.5E3
830.0,783.5E3
831.0,783.5E3
832.0,783.5E3
833.0,783.5E3
834.0,783.5E3
835.0,783.5E3
836.0,783.5E3
837.0,783.5E3
838.0,783.5E3
839.0,783.5E3
840.0,783.5E3
841.0,783.5E3
842.0,783.5E3
843.0,783.5E3
844.0,783.5E3
845.0,783.5E3
846.0,783.5E3
847.0,783.5E3
848.0,783.5E3
849.0,783.5E3
850.0,783.5E3
851.0,783.5E3
852.0,783.5E3
853.0,783.5E3
854.0,783.5E3
855.0,783.5E3
856.0,783.5E3
857.0,783.5E3
858.0,783.5E3
859.0,783.5E3
860.0,783.5E3
861.0,783.5E3
862.0,783.5E3
863.0,783.5E3
864.0,783.5E3
865.0,783.5E3
866.0,783.5E3
867.0,783.5E3
868.0,783.5E3
869.0,783.5E3
870.0,783.5E3
871.0,783.5E3
872.0,783.5E3
873.0,783.5E3
874.0,783.5E3
875.0,783.5E3
876.0,783.5E3
877.0,783.5E3
878.0,783.5E3
879.0,783.5E3
880.0,783.5E3
881.0,783.5E3
882.0,783.5E3
883.0,783.5E3
884.0,783.5E3
885.0,783.5E3
886.0,783.5E3
887.0,783.5E3
888.0,783.5E3
889.0,783.5E3
890.0,783.5E3
891.0,783.5E3
892.0,783.5E3
893.0,783.5E3
894.0,783.5E3
895.0,783.5E3
896.0,783.5E3
897.0,783.5E3
898.0,783.5E3
899.0,783.5E3
900.0,783.5E3
901.0,783.5E3
902.0,783.5E3
903.0,783.5E3
904.0,783.5E3
905.0,783.5E3
906.0,783.5E3
907.0,783.5E3
908.0,783.5E3
909.0,783.5E3
910.0,783.5E3
911.0,783.5E3
912.0,783.5E3
913.0,783.5E3
914.0,783.5E3
915.0,783.5E3
916.0,783.5E3
917.0,783.5E3
918.0,783.5E3
919.0,783.5E3
920.0,783.5E3
921.0,783.5E3
922.0,783.5E3
923.0,783.5E3
924.0,783.5E3
925.0,783.5E3
926.0,783.5E3
927.0,783.5E3
928.0,783.5E3
929.0,783.5E3
930.0,783.5E3
931.0,783.5E3
932.0,783.5E3
933.0,783.5E3
934.0,783.5E3
935.0,783.5E3
936.0,783.5E3
937.0,783.5E3
938.0,783.5E3
939.0,783.5E3
940.0,783.5E3
941.0,783.5E3
942.0,783.5E3
943.0,783.5E3
944.0,783.5E3
945.0,783.5E3
946.0,783.5E3
947.0,783.5E3
948.0,783.5E3
949.0,783.5E3
950.0,783.5E3
951.0,783.5E3
952.0,783.5E3
953.0,783.5E3
954.0,783.5E3
955.0,783.5E3
956.0,783.5E3
957.0,783.5E3
958.0,783.5E3
959.0,783.5E3
960.0,783.5E3
961.0,783.5E3
962.0,783.5E3
963.0,783.5E3
964.0,783.5E3
965.0,783.5E3
966.0,783.5E3
967.0,783.5E3
968.0,783.5E3
969.0,783.5E3
970.0,783.5E3
971.0,783.5E3
972.0,783.5E3
973.0,783.5E3
974.0,783.5E3
975.0,783.5E3
976.0,783.5E3
977.0,783.5E3
978.0,783.5E3
979.0,783.5E3
980.0,783.5E3
981.0,783.5E3
982.0,783.5E3
983.0,783.5E3
984.0,783.5E3
985.0,783.5E3
986.0,783.5E3
987.0,783.5E3
988.0,783.5E3
989.0,783.5E3
990.0,783.5E3
991.0,783.5E3
992.0,783.5E3
993.0,783.5E3
994.0,783.5E3
995.0,783.5E3
996.0,783.5E3
997.0,783.5E3
998.0,783.5E3
999.0,783.5E3
1.000E3,783.5E3
1.001E3,783.5E3
1.002E3,783.5E3
1.003E3,783.5E3
1.004E3,783.5E3
1.005E3,783.5E3
1.006E3,783.5E3
1.007E3,783.5E3
1.008E3,783.5E3
1.009E3,783.5E3
1.010E3,783.5E3
1.011E3,783.5E3
1.012E3,783.5E3
1.013E3,783.5E3
1.014E3,783.5E3
1.015E3,783.5E3
1.016E3,783.5E3
1.017E3,783.5E3
1.018E3,783.5E3
1.019E3,783.5E3
1.020E3,783.5E3
1.021E3,783.5E3
1.022E3,783.5E3
1.023E3,783.5E3
